EXPECTATION,CALL_MAN,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT,EXACT_RANGE_EXP_2,
0,0,0,497600,72400,
0,0,0,497300,72700,
0,0,0,496700,73300,
0,0,0,496700,73300,
0,0,0,496700,73300,
0,0,0,494900,75100,
0,0,0,494600,75400,
0,0,0,495200,74800,
0,0,0,491600,78400,
0,0,0,498800,71200,
0,0,0,498800,71200,
0,0,0,492800,77200,
0,0,0,492200,77800,
0,0,0,492200,77800,
0,0,0,492200,77800,
0,0,0,486800,83200,
0,0,0,480800,89200,
0,0,0,480200,89800,
0,0,0,476600,93400,
0,0,0,476600,93400,
0,0,0,469400,100600,
0,0,0,463400,106600,
0,0,0,469400,100600,
0,0,0,469400,100600,
0,0,0,474800,95200,
0,0,0,474800,95200,
0,0,0,474500,95500,
0,0,0,480500,89500,
0,0,0,480500,89500,
0,0,0,480500,89500,
0,0,0,487700,82300,
0,0,0,493700,76300,
0,0,0,499700,70300,
0,0,0,499700,70300,
0,0,0,499700,70300,
0,0,0,499700,70300,
0,0,0,502100,67900,
0,0,0,508100,61900,
0,0,0,508100,61900,
0,0,0,508100,61900,
0,0,0,500900,69100,
0,0,0,506900,63100,
0,0,0,507500,62500,
0,0,0,507500,62500,
0,0,0,507500,62500,
0,0,0,507500,62500,
0,0,0,505700,64300,
0,0,0,502700,67300,
0,0,0,502700,67300,
0,0,0,502700,67300,
0,0,0,506300,63700,
0,0,0,505700,64300,
0,0,0,511700,58300,
0,0,0,511700,58300,
0,0,0,506300,63700,
0,0,0,499100,70900,
0,0,0,499700,70300,
0,0,0,500300,69700,
0,0,0,500300,69700,
0,0,0,500300,69700,
0,0,0,496700,73300,
0,0,0,492500,77500,
0,0,0,488300,81700,
0,0,0,488300,81700,
0,0,0,484700,85300,
0,0,0,484700,85300,
0,0,0,484100,85900,
0,0,0,483500,86500,
0,0,0,488900,81100,
0,0,0,488900,81100,
0,0,0,488900,81100,
