EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_18_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP,
0,145500,0,317550,76950,0,
0,144900,0,317550,77550,0,
0,144900,0,317550,77550,0,
0,148500,0,317550,73950,0,
0,148200,0,317850,73950,0,
0,132000,0,317850,90150,0,
0,132000,0,310050,97950,0,
0,132300,0,310050,97650,0,
0,116100,0,310050,113850,0,
0,116100,0,310050,113850,0,
0,113700,0,312450,113850,0,
0,97500,0,312450,130050,0,
0,97500,0,313050,129450,0,
0,96900,0,296250,146850,0,
0,96900,0,296250,146850,0,
0,107700,0,296250,136050,0,
0,108300,0,295650,136050,0,
0,108300,0,295650,136050,0,
0,108300,0,296250,135450,0,
0,107700,0,297150,135150,0,
0,107700,0,297150,135150,0,
0,107700,0,297150,135150,0,
0,107400,0,303450,129150,0,
0,116400,0,294450,129150,0,
0,116400,0,293850,129750,0,
0,105000,0,305550,129450,0,
0,105000,0,305550,129450,0,
0,105000,0,305550,129450,0,
0,105600,0,304950,129450,0,
0,152400,0,281550,106050,0,
0,164100,0,281250,94650,0,
0,164400,0,281250,94350,0,
0,164400,0,281250,94350,0,
0,164400,0,281250,94350,0,
0,153000,0,292650,94350,0,
0,149400,0,296250,94350,0,
0,149400,0,296850,93750,0,
0,148800,0,296850,94350,0,
0,145200,0,309450,85350,0,
0,145200,0,309450,85350,0,
0,144900,0,309750,85350,0,
0,144900,0,309750,85350,0,
0,155100,0,300150,84750,0,
0,155400,0,300150,84450,0,
0,155400,0,300150,84450,0,
0,148200,0,300150,91650,0,
0,147900,0,300450,91650,0,
0,147900,0,300450,91650,0,
0,147900,0,300150,91950,0,
0,148200,0,300150,91650,0,
0,148200,0,300150,91650,0,
0,148200,0,303750,88050,0,
0,147600,0,304350,88050,0,
0,147600,0,304350,88050,0,
0,147600,0,300150,92250,0,
0,147000,0,300150,92850,0,
0,143400,0,300150,96450,0,
0,139800,0,300150,100050,0,
0,139500,0,300450,100050,0,
0,139500,0,300450,100050,0,
0,139500,0,301050,99450,0,
0,124500,0,301050,114450,0,
0,99300,0,274050,166650,0,
0,99300,0,261450,179250,0,
0,98700,0,262050,179250,0,
0,80700,0,262050,197250,0,
0,80700,0,262650,196650,0,
0,105300,0,247650,187050,0,
0,105300,0,247650,187050,0,
0,105300,0,247650,187050,0,
0,104700,0,248250,187050,0,
0,104700,0,248250,187050,0,
0,104700,0,247650,187650,0,
0,105300,0,247650,187050,0,
0,105300,0,247650,187050,0,
0,105300,0,247650,187050,0,
0,104700,0,236250,199050,0,
0,92100,0,236250,211650,0,
0,92100,0,221250,226650,0,
0,92700,0,221250,226050,0,
0,85500,0,221250,233250,0,
0,85500,0,223050,231450,0,
0,85200,0,223350,231450,0,
0,74400,0,234150,231450,0,
0,74400,0,220950,244650,0,
0,85800,0,220950,233250,0,
0,85800,0,220950,233250,0,
0,85800,0,220950,233250,0,
0,85500,0,232650,221850,0,
0,99900,0,232650,207450,0,
0,99900,0,232350,207750,0,
0,99300,0,232350,208350,0,
0,99300,0,232350,208350,0,
0,92100,0,239550,208350,0,
0,91800,0,239850,208350,0,
0,91800,0,239850,208350,0,
0,91800,0,240450,207750,0,
0,91800,0,240450,207750,0,
0,59400,0,305250,175350,0,
0,34200,0,305250,200550,0,
0,49800,0,304650,185550,0,
0,49800,0,304650,185550,0,
0,49800,0,304350,185850,0,
0,50400,0,304350,185250,0,
0,61200,0,293550,185250,0,
0,59400,0,295350,185250,0,
0,59100,0,303450,177450,0,
0,59100,0,303450,177450,0,
0,58500,0,302850,178650,0,
0,59100,0,302850,178050,0,
