EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT_LOW,
77100,171550,0,0,291250,100,
78900,171550,0,0,289450,100,
78900,171550,0,0,289450,100,
67500,171550,0,0,300850,100,
67500,171550,0,0,300850,100,
67200,171850,0,0,300850,100,
67200,179650,0,0,293050,100,
58200,167050,0,0,314650,100,
58200,159850,0,0,321850,100,
66000,159850,0,0,314050,100,
62400,158050,0,0,319450,100,
66600,153850,0,0,319450,100,
66600,154450,0,0,318850,100,
66600,154450,0,0,318850,100,
66600,154450,0,0,318850,100,
66900,154450,0,0,318550,100,
65100,154450,0,0,320350,100,
64800,148450,0,0,326650,100,
64800,148150,0,0,326950,100,
64800,151750,0,0,323350,100,
63000,153550,0,0,323350,100,
69000,153550,0,0,317350,100,
63600,158950,0,0,317350,100,
63300,151150,0,0,325450,100,
59100,150850,0,0,329950,100,
59100,156250,0,0,324550,100,
59100,156250,0,0,324550,100,
59400,156250,0,0,324250,100,
61200,156250,0,0,322450,100,
60900,156550,0,0,322450,100,
60900,150550,0,0,328450,100,
50100,150550,0,0,339250,100,
50100,150550,0,0,339250,100,
56100,150550,0,0,333250,100,
56100,150550,0,0,333250,100,
55800,150850,0,0,333250,100,
56700,150550,0,0,332650,100,
56700,163150,0,0,320050,100,
56700,164950,0,0,318250,100,
50700,164950,0,0,324250,100,
50700,166750,0,0,322450,100,
54900,162550,0,0,322450,100,
48900,161950,0,0,329050,100,
48900,156550,0,0,334450,100,
38100,156550,0,0,345250,100,
37500,152350,0,0,350050,100,
37500,152350,0,0,350050,100,
37200,152650,0,0,350050,100,
37200,152350,0,0,350350,100,
37200,152350,0,0,350350,100,
37200,152350,0,0,350350,100,
37500,152350,0,0,350050,100,
37500,152350,0,0,350050,100,
38100,151750,0,0,350050,100,
38100,157750,0,0,344050,100,
