CALL_MAN,SIMPLE_RANGE,SIMPLE_RANGE,EXPECTATION,EXPECTATION
0,28950,100,20700,250
0,28950,100,20700,250
0,28950,100,20700,250
0,28650,100,21000,250
0,28650,100,21000,250
0,28350,100,21300,250
0,28350,100,21300,250
0,28350,100,21300,250
0,28650,100,21000,250
0,28650,100,21000,250
0,28950,100,20700,250
0,28950,100,20700,250
0,28950,100,20700,250
0,28650,100,21000,250
0,28650,100,21000,250
0,28350,100,21300,250
0,28350,100,21300,250
0,28350,100,21300,250
0,28050,100,21600,250
0,28350,100,21300,250
0,28650,100,21000,250
0,28650,100,21000,250
0,28650,100,21000,250
0,28350,100,21300,250
0,28350,100,21300,250
0,28650,100,21000,250
0,28650,100,21000,250
0,28650,100,21000,250
0,28350,100,21300,250
0,28050,100,21600,250
0,28350,100,21300,250
0,28350,100,21300,250
0,28350,100,21300,250
0,28650,100,21000,250
0,28650,100,21000,250
0,28350,100,21300,250
0,28350,100,21300,250
0,28350,100,21300,250
0,28650,100,21000,250
0,28650,100,21000,250
0,28050,100,21600,250
0,28050,100,21600,250
0,28050,100,21600,250
0,28350,100,21300,250
0,28350,100,21300,250
0,27750,100,21900,250
0,27750,100,21900,250
0,27750,100,21900,250
0,27450,100,22200,250
0,27450,100,22200,250
0,27750,100,21900,250
0,27750,100,21900,250
0,27750,100,21900,250
0,27450,100,22200,250
0,27450,100,22200,250
0,27150,100,22500,250
0,27150,100,22500,250
0,27150,100,22500,250
0,26850,100,22800,250
0,26850,100,22800,250
0,26850,100,22800,250
0,26850,100,22800,250
0,26850,100,22800,250
0,26550,100,23100,250
0,26550,100,23100,250
0,26850,100,22800,250
0,26850,100,22800,250
0,26850,100,22800,250
0,27150,100,22500,250
0,27150,100,22500,250
0,27450,100,22200,250
0,27450,100,22200,250
0,27450,100,22200,250
0,27150,100,22500,250
0,27150,100,22500,250
0,27450,100,22200,250
0,27450,100,22200,250
0,27450,100,22200,250
0,27150,100,22500,250
0,27150,100,22500,250
0,27450,100,22200,250
0,27450,100,22200,250
0,27450,100,22200,250
0,27150,100,22500,250
0,27150,100,22500,250
0,27150,100,22500,250
0,27150,100,22500,250
0,27150,100,22500,250
0,27450,100,22200,250
0,27450,100,22200,250
0,27750,100,21900,250
0,27750,100,21900,250
0,27750,100,21900,250
0,27750,100,21900,250
0,27750,100,21900,250
0,27150,100,22500,250
0,27150,100,22500,250
0,27150,100,22500,250
0,27450,100,22200,250
0,27450,100,22200,250
0,27750,100,21900,250
0,27750,100,21900,250
0,27750,100,21900,250
0,28050,100,21600,250
0,28050,100,21600,250
0,28350,100,21300,250
0,28350,100,21300,250
0,28350,100,21300,250
0,28050,100,21600,250
0,28050,100,21600,250
0,27750,100,21900,250
0,27750,100,21900,250
0,27750,100,21900,250
0,27450,100,22200,250
0,27450,100,22200,250
0,27750,100,21900,250
0,27750,100,21900,250
0,27750,100,21900,250
0,28050,100,21600,250
