EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_6_FLOP_EX_LIMIT,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_2,
0,101400,116700,28800,293100,0,
0,101400,116700,28200,293700,0,
0,99000,116700,31200,293100,0,
0,109800,116700,20400,293100,0,
0,109800,116700,20400,293100,0,
0,109500,117000,20400,293100,0,
0,109500,119400,18000,293100,0,
0,109500,119400,25500,285600,0,
0,103800,119400,25500,291300,0,
0,103800,119400,25500,291300,0,
0,103800,119400,25500,291300,0,
0,103500,119700,25500,291300,0,
0,103500,119100,21300,296100,0,
0,110100,119100,15300,295500,0,
0,110700,119100,15300,294900,0,
0,110700,115500,15300,298500,0,
0,119700,111900,15300,293100,0,
0,120300,111300,15300,293100,0,
0,120300,112500,14700,292500,0,
0,120300,112500,17100,290100,0,
0,118500,112500,17100,291900,0,
0,118500,123300,17100,281100,0,
0,118500,123300,15300,282900,0,
0,119100,122700,15300,282900,0,
0,119100,115200,22800,282900,0,
0,134700,115200,15000,275100,0,
0,140100,115200,15000,269700,0,
0,140100,115200,15000,269700,0,
0,140100,115200,13200,271500,0,
0,140700,114600,13200,271500,0,
0,140700,114000,12600,272700,0,
0,140700,109800,12000,277500,0,
0,148500,109800,12000,269700,0,
0,148500,109800,12000,269700,0,
0,148500,109800,12000,269700,0,
0,147900,110400,12000,269700,0,
0,147900,109800,12600,269700,0,
0,147900,109800,13200,269100,0,
0,147300,109800,13200,269700,0,
0,136500,109800,24000,269700,0,
0,141900,109800,24000,264300,0,
0,141600,109200,24000,265200,0,
0,141600,117000,16200,265200,0,
0,148200,117000,3000,271800,0,
0,159600,117000,3000,260400,0,
0,159600,115200,4800,260400,0,
0,159600,115200,4800,260400,0,
0,159300,115500,4800,260400,0,
0,159300,120300,0,260400,0,
0,159300,120300,0,260400,0,
0,159900,120300,0,259800,0,
0,159900,120300,0,259800,0,
0,159900,127500,0,252600,0,
0,167700,119700,0,252600,0,
0,167700,119100,0,253200,0,
0,167700,119100,0,253200,0,
0,168300,119100,0,252600,0,
0,168300,119100,0,252600,0,
0,168300,119100,0,252600,0,
0,172200,115200,0,252600,0,
0,172200,114600,0,253200,0,
0,172200,114600,0,253200,0,
0,171600,115800,0,252600,0,
0,171600,115800,0,252600,0,
0,171600,115800,0,252600,0,
0,172200,115200,0,252600,0,
0,168000,125400,0,246600,0,
0,163800,125400,0,250800,0,
0,163200,137400,0,239400,0,
0,172200,137400,0,230400,0,
0,170400,139200,0,230400,0,
0,169800,139800,0,230400,0,
0,162000,139200,0,238800,0,
0,162000,139200,0,238800,0,
0,162600,139200,0,238200,0,
0,159000,142800,0,238200,0,
0,155400,146400,0,238200,0,
0,149400,145800,0,244800,0,
0,149400,151800,0,238800,0,
0,149400,151800,0,238800,0,
0,148800,151800,0,239400,0,
0,148800,151800,0,239400,0,
0,147000,151800,0,241200,0,
0,146700,152100,0,241200,0,
0,147900,151500,0,240600,0,
0,147900,151500,0,240600,0,
0,148500,151500,0,240000,0,
0,148500,151500,0,240000,0,
0,148500,151500,0,240000,0,
0,148200,151800,0,240000,0,
0,148200,161100,0,230700,0,
0,145800,161100,0,233100,0,
0,154800,161100,0,224100,0,
0,154800,161100,0,224100,0,
0,153000,162900,0,224100,0,
0,159000,156900,0,224100,0,
0,144600,185700,0,209700,0,
0,144600,186900,0,208500,0,
0,144000,186900,0,209100,0,
0,135000,195900,0,209100,0,
0,133200,197700,0,209100,0,
0,132900,198000,0,209100,0,
0,132900,198600,0,208500,0,
0,132900,198600,0,208500,0,
0,144300,198600,0,197100,0,
0,144300,198600,0,197100,0,
0,144300,205800,0,189900,0,
0,144000,206100,0,189900,0,
0,144000,205500,0,190500,0,
0,144000,205500,0,190500,0,
0,143400,205500,0,191100,0,
0,138000,205500,0,196500,0,
0,138000,205500,0,196500,0,
0,144000,199500,0,196500,0,
0,144000,195300,0,200700,0,
0,145800,193500,0,200700,0,
0,145200,187500,0,207300,0,
0,141600,191100,0,207300,0,
0,139800,191100,0,209100,0,
0,139800,191100,0,209100,0,
0,139800,195300,0,204900,0,
0,145200,189900,0,204900,0,
0,151200,189900,0,198900,0,
0,151200,189900,0,198900,0,
0,151200,189900,0,198900,0,
0,150900,190200,0,198900,0,
0,150900,190800,0,198300,0,
0,150900,201600,0,187500,0,
0,152100,201000,0,186900,0,
0,152100,201000,0,186900,0,
0,152100,201000,0,186900,0,
0,151800,201300,0,186900,0,
0,151800,201900,0,186300,0,
0,141000,194700,0,204300,0,
0,140400,194700,0,204900,0,
0,153000,194700,0,192300,0,
0,165600,194700,0,179700,0,
0,165300,195000,0,179700,0,
0,165300,192000,0,182700,0,
0,165300,187200,0,187500,0,
0,170100,186600,0,183300,0,
0,170100,186600,0,183300,0,
0,170100,186600,0,183300,0,
0,169800,186900,0,183300,0,
0,169800,183900,0,186300,0,
0,174600,183900,0,181500,0,
0,181200,183900,0,174900,0,
0,181200,183900,0,174900,0,
0,179400,185700,0,174900,0,
0,179100,186000,0,174900,0,
0,179100,186600,0,174300,0,
0,179100,186600,0,174300,0,
0,186900,186600,0,166500,0,
0,186900,186600,0,166500,0,
0,186900,186600,0,166500,0,
