EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,EXACT_RANGE_EXP_6_FLOP_EX,EXACT_RANGE_EXP_2_FLOP,EXACT_RANGE_EXP_6_FLOP,
0,102000,82500,69600,0,285900,
0,102000,82500,81000,0,274500,
0,102000,82500,81000,0,274500,
0,101400,82500,82200,0,273900,
0,101400,82500,82200,0,273900,
0,114600,75900,82200,0,267300,
0,103200,99300,81600,0,255900,
0,103200,99300,81000,0,256500,
0,103200,99300,81000,0,256500,
0,102600,99500,81200,0,256700,
0,102600,99500,81200,0,256700,
0,102000,100100,81200,0,256700,
0,103200,99500,80600,0,256700,
0,103200,93500,89000,0,254300,
0,103200,93500,89000,0,254300,
0,106200,92900,88400,0,252500,
0,97800,111500,88400,0,242300,
0,97200,112100,88400,0,242300,
0,97200,112700,87800,0,242300,
0,97200,112100,89000,0,241700,
0,99600,109700,89000,0,241700,
0,100200,109700,89000,0,241100,
0,100200,109700,89000,0,241100,
0,92400,117500,89000,0,241100,
0,92400,118100,88400,0,241100,
0,92400,118100,89000,0,240500,
0,91200,118100,89000,0,241700,
0,81600,118100,89000,0,251300,
0,81600,110900,96200,0,251300,
0,74100,118400,96200,0,251300,
0,74100,117800,96800,0,251300,
0,66300,117800,89000,0,266900,
0,66300,117800,83600,0,272300,
0,69300,117800,83600,0,269300,
0,69300,117800,83600,0,269300,
0,60300,126800,83600,0,269300,
0,70500,122600,77600,0,269300,
0,71700,122600,77000,0,268700,
0,71700,110000,75200,0,283100,
0,69900,110000,77600,0,282500,
0,69900,110000,77600,0,282500,
0,69300,109400,78800,0,282500,
0,69300,110000,78200,0,282500,
0,69300,110000,75800,0,284900,
0,69300,110000,75800,0,284900,
0,75300,110000,75800,0,278900,
0,75300,110000,75800,0,278900,
0,75900,109400,75800,0,278900,
0,78900,107000,75200,0,278900,
0,78300,106400,77000,0,278300,
0,76500,106400,77000,0,280100,
0,81300,106400,77000,0,275300,
0,81300,106400,77000,0,275300,
0,76500,111200,77000,0,275300,
0,76500,111800,76400,0,275300,
0,76500,113000,75800,0,274700,
0,79500,110000,75800,0,274700,
0,86100,104000,75800,0,274100,
0,86100,104000,75800,0,274100,
0,85500,103400,77600,0,273500,
0,85500,106400,77000,0,271100,
0,85500,105800,76400,0,272300,
0,89100,104000,74600,0,272300,
0,91500,104000,74600,0,269900,
0,91500,104000,74600,0,269900,
0,90900,104600,74600,0,269900,
0,90900,104000,75200,0,269900,
0,90900,105200,74600,0,269300,
0,90900,110600,74600,0,263900,
0,90300,110600,74600,0,264500,
0,90300,110600,74600,0,264500,
0,90900,110000,74600,0,264500,
0,90900,105800,78800,0,264500,
0,90900,93200,104000,0,251900,
0,90900,93200,104000,0,251900,
0,90300,93200,104000,0,252500,
0,90300,93200,104000,0,252500,
0,90900,92600,104000,0,252500,
0,90300,81200,116600,0,251900,
0,90300,81200,112400,0,256100,
0,90300,81200,112400,0,256100,
0,84300,93200,112400,0,250100,
0,77100,100400,112400,0,250100,
0,76500,100700,112400,0,250400,
0,72300,94700,122600,0,250400,
0,72300,94700,122000,0,251000,
0,72300,94700,122000,0,251000,
0,74100,94700,122000,0,249200,
0,74100,89300,127400,0,249200,
0,68100,95300,127400,0,249200,
0,68100,103100,119600,0,249200,
0,62100,98900,130400,0,248600,
0,50100,110900,130400,0,248600,
0,49500,110900,130400,0,249200,
0,49500,110900,130400,0,249200,
0,54300,106100,130400,0,249200,
0,54300,100100,142400,0,243200,
0,77700,99500,131000,0,231800,
0,77700,99500,131000,0,231800,
0,78300,99500,131000,0,231200,
0,67500,99500,141800,0,231200,
0,68100,98900,141800,0,231200,
0,68100,98300,142400,0,231200,
0,68100,98300,141800,0,231800,
0,68100,98300,141800,0,231800,
0,65700,98300,144800,0,231200,
0,65700,98300,144800,0,231200,
0,66300,97700,144800,0,231200,
0,66300,98300,144200,0,231200,
0,66300,106700,136400,0,230600,
