EXPECTATION,EXPECTATION_RAISE_LIMIT_24,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT_2,EXACT_RANGE_EXP_2,
0,0,0,342000,228000,
0,0,0,342000,228000,
0,0,0,342000,228000,
0,0,0,342600,227400,
0,0,0,345000,225000,
0,0,0,345000,225000,
0,0,0,345000,225000,
0,0,0,341400,228600,
0,0,0,341100,228900,
0,0,0,345300,224700,
0,0,0,345300,224700,
0,0,0,352500,217500,
0,0,0,352500,217500,
0,0,0,353100,216900,
0,0,0,357300,212700,
0,0,0,357300,212700,
0,0,0,357300,212700,
0,0,0,351900,218100,
0,0,0,357900,212100,
0,0,0,339600,230400,
0,0,0,339600,230400,
0,0,0,332400,237600,
0,0,0,327600,242400,
0,0,0,328200,241800,
0,0,0,327600,242400,
0,0,0,333000,237000,
0,0,0,333000,237000,
0,0,0,327600,242400,
0,0,0,324600,245400,
0,0,0,298900,271100,
0,0,0,297100,272900,
0,0,0,304300,265700,
0,0,0,311500,258500,
0,0,0,311200,258800,
0,0,0,303800,266200,
0,0,0,303800,266200,
0,0,0,303800,266200,
0,0,0,309200,260800,
0,0,0,309800,260200,
0,0,0,315200,254800,
0,0,0,315200,254800,
0,0,0,317000,253000,
0,0,0,317000,253000,
0,0,0,316700,253300,
0,0,0,322700,247300,
0,0,0,322700,247300,
0,0,0,322700,247300,
0,0,0,315500,254500,
0,0,0,315200,254800,
0,0,0,314600,255400,
0,0,0,312800,257200,
0,0,0,312800,257200,
0,0,0,312800,257200,
0,0,0,313400,256600,
0,0,0,308600,261400,
0,0,0,301400,268600,
0,0,0,301400,268600,
0,0,0,301400,268600,
0,0,0,301100,268900,
0,0,0,301700,268300,
0,0,0,301700,268300,
0,0,0,305300,264700,
0,0,0,310700,259300,
0,0,0,310400,259600,
0,0,0,309800,260200,
0,0,0,309800,260200,
0,0,0,306200,263800,
0,0,0,306200,263800,
0,0,0,310400,259600,
0,0,0,311000,259000,
0,0,0,312800,257200,
0,0,0,312800,257200,
0,0,0,312800,257200,
0,0,0,318800,251200,
0,0,0,315800,254200,
0,0,0,323000,247000,
0,0,0,323000,247000,
0,0,0,321200,248800,
0,0,0,320900,249100,
0,0,0,320900,249100,
0,0,0,320900,249100,
0,0,0,320900,249100,
0,0,0,320900,249100,
0,0,0,325100,244900,
0,0,0,325700,244300,
0,0,0,325700,244300,
0,0,0,325700,244300,
0,0,0,332900,237100,
0,0,0,332600,237400,
0,0,0,317600,252400,
0,0,0,317600,252400,
0,0,0,317600,252400,
0,0,0,315800,254200,
0,0,0,315500,254500,
0,0,0,306200,263800,
0,0,0,304400,265600,
0,0,0,309800,260200,
0,0,0,308000,262000,
0,0,0,307700,262300,
0,0,0,308300,261700,
0,0,0,308300,261700,
0,0,0,308300,261700,
0,0,0,308300,261700,
0,0,0,308000,262000,
0,0,0,307400,262600,
0,0,0,300200,269800,
0,0,0,300200,269800,
0,0,0,300200,269800,
0,0,0,306200,263800,
0,0,0,306200,263800,
0,0,0,313400,256600,
0,0,0,309800,260200,
0,0,0,309800,260200,
0,0,0,310400,259600,
